input.course_name,Manual Facility Name,input.address,manual street address,input.state,State Abbr.,input.city,input.country,output.website_url,error,tee_on_detected,all_techs
Alberta Beach Golf Course,Alberta Beach Golf Course,"P.O. Box 120, Alberta Beach, Alberta, T0E 0A0",4438 44 Ave,Alberta,AB,Alberta Beach,Canada,http://albertabeachgolf.com/,,No,"WordPress, Lightspeed"
Ardmore Golf Course,Ardmore Golf Course,"930 Ardmore Drive , Sidney, British Columbia, V8L 5G1",930 Ardmore Drive,British Columbia,BC,Sidney,Canada,http://ardmoregolfcourse.com,,Yes,"Weebly, Tee On"
Banty's Roost Golf and Country Club - Blue/Red,,"12600 Bramalea Road, Caledon East, Ontario, L7C 2P3",12600 Bramalea Road,Ontario,ON,Caledon East,Canada,http://bantysroost.com/,,No,
Barry's Bay Golf Club,Barry's Bay Golf Club,"2937 Old Barry's Bay Road, R.R. #2, Barry's Bay, Ontario, K0J 1B0",2937 Old Barry's Bay Road,Ontario,ON,Barrys Bay,Canada,http://barrysbaygolf.com/,404 Not Found,,
Beach Grove Golf Club,Beach Grove Golf Club,"5946 12th Avenue , Tsawwassen, British Columbia, V4L 1C7",5946 12th Avenue,British Columbia,BC,Tsawwassen,Canada,http://beachgrovegolf.com/,,No,"Jonas Software, ClubHouse Online, Calendly"
Beechwood Golf & Social House,Beechwood Golf & Social House,"4680 Thorold Townline Rd. R.R. #1 , Niagara Falls, Ontario, L2E 6S4",4680 Thorold Townline Rd. R.R. #1,Ontario,ON,Niagara Falls,Canada,http://beechwoodgc.com/,,No,"foreUP Software, ForeUp"
Blueberry Hill Golf Course,Blueberry Hill Golf Course,"NE 22-53-19 w3, Powm Beach, SK S0M 1J0, Canada",NE 22-53-19 w3,Saskatchewan,SK,Powm Beach,Canada,http://blueberryhillgolfcourse.com,,No,WordPress
Caledon Woods Golf Club,Caledon Woods Golf Club,"15608 Regional Road 50, Bolton, Ontario, L7E 3E5",15608 Regional Road 50,Ontario,ON,Bolton,Canada,http://caledonwoods.clublink.ca/,,No,
Candle Lake Golf Course,Candle Lake Golf Course,"P.O. Box 118, Candle Lake, Saskatchewan, S0J 3E0",P.O. Box 118,Saskatchewan,SK,Candle Lake,Canada,http://candlelakegolfresort.com,,No,"WordPress, Lightspeed"
Cardinal 18 Golf Club,Cardinal 18 Golf Club,"935 Elm Tree Road, Little Britain, Ontario, K0M 2C0",935 Elm Tree Road,Ontario,ON,Little Britain,Canada,http://cardinal18.com/,,No,"WordPress, Lightspeed"
Cardinal Golf Club - RedCrest,Cardinal Golf Club - RedCrest,"17700 Keele St, King, Ontario, L0G 1J0",17700 Keele St,Ontario,ON,King,Canada,http://cardinalgolfgroup.com/,,No,"WordPress, Lightspeed"
Cattail Crossing Golf & Winter Club,Cattail Crossing Golf & Winter Club,"24427 Twp Rd 542, Sturgeon County, AB, T8T 1L4",24427 Twp Rd 542,Alberta,AB,Sturgeon County,Canada,http://cattailcrossing.ca/,,Yes,"WordPress, Tee On, Booxi"
Club de Golf Caughnawaga,,"Road 207 South CP 840, Kahnawake, Quebec, J0L 1B0",Road 207 South CP 840,Quebec,QC,Kahnawake,Canada,http://caughnawagagolfclub.ca/,,No,"foreUP Software, ForeUp"
Chinook Cove Golf,Chinook Cove Golf,"5045 Boulder Mountain Road, Barriere, British Columbia, V0E1E0",5045 Boulder Mountain Road,British Columbia,BC,Barriere,Canada,http://chinookcovegolf.com,,No,"WordPress, Tee It Up"
